"DOY","nwis_01480617","nwis_01480870","nwis_01493112","nwis_01548303","nwis_01608500","nwis_01611500","nwis_01632900","nwis_01645704","nwis_01646305","nwis_01648010","nwis_01649190","nwis_01650800","nwis_01656903","nwis_01673000","nwis_02101726","nwis_02110500","nwis_02160105","nwis_02160700","nwis_02203655","nwis_02217643","nwis_02266200","nwis_02266300","nwis_02336152","nwis_023362095","nwis_02336300","nwis_02336313","nwis_02336410","nwis_02336526","nwis_03067510","nwis_04121944","nwis_04121970","nwis_04125460","nwis_04136900","nwis_04137005","nwis_04166500","nwis_04176500","nwis_04213500","nwis_05435943","nwis_07075250","nwis_07075270","nwis_07143672","nwis_07177500","nwis_08052745","nwis_10133980","nwis_11044000","nwis_11273400","nwis_14206950"
1,0.695850355934845,0.822299039806861,0.756011485195357,0.322157091082071,2.23413973831292,0.902391204525448,1.17614883888141,0.334970832735874,0.43166318859625,0.439233114580943,0.534828679079086,0.401224935008341,0.644035212206856,0.308456848644344,0.399657364330403,0.14931638112,0.102356648438955,0.302657868380939,0.100907029314879,0.10055047529084,0.327009196670163,0.104121935483085,0.111899058064358,0.0826505629064715,0.276123620968684,0.134071586683932,0.396059720008801,0.497396242837814,0.198459682284372,0.718286744926954,0.50700585023445,0.366093801203458,2.04647846666739,0.284313992440398,0.54158898188449,3.75585655246449,1.28116280094616,0.909267800553131,0.129270068951147,0.0660653897475212,0.436722438560744,0.586773017439364,0.663357262982189,1.94234047476652,0.629453184955978,1.8032954705201,0.120017490815078
2,0.705374520139049,0.81640932725784,0.820256503109482,0.270104114155624,2.34336468231714,1.02655123447332,1.11227958843819,0.301841833876897,0.432926038791279,0.384441241085541,0.488812107662673,0.401961722752558,0.580945815274796,0.20258967897245,0.282694861489605,0.112725956129807,0.0543683015355986,0.210179140273739,0.108121711820464,0.138553605138458,0.374339672179303,0.260967810542601,0.134919670498901,0.098503353345882,0.244240736297399,0.183327557427491,0.206003402976815,0.482704421683515,0.186202141345474,0.586329344798012,0.61130744050863,0.357710160695839,2.07689461677047,0.198460390426706,0.555458995927054,3.70487411326624,1.27058555650135,0.838580563048876,0.182470741419161,0.0948462671658925,0.394763820737615,0.572353242851791,0.394584994363294,1.9282855473096,0.869013899763093,2.15878650341245,0.115384198899896
3,0.717578401418515,0.813147161830888,0.647222071491633,0.279126510369742,2.21234378646902,0.858456466916259,0.939110325807186,0.261791505166565,0.299202139369413,0.310994814594958,0.363210134853618,0.22051386199791,0.462467433146489,0.192275064051726,0.534605250483354,0.1741981466241,0.0149615511879201,0.0659245168917603,0.0594034439514921,0.0939293632505201,0.273641618029419,0.124633266803682,0.126667996922116,0.108908779720854,0.210072693367381,0.115055806831976,0.315607887409365,0.484052326229289,0.199658568288873,0.618169508145134,0.581380986589219,0.3741512532215,1.6389816182844,0.233458917243102,0.599654852725018,2.98583144159273,1.65124900781401,0.751940208338386,0.14430197870896,0.0612935792568143,0.390858303460287,0.567479247927286,0.47425791861727,1.91568119135332,0.992073261424493,2.26365825155342,0.134426920011929
4,0.732419577432546,0.812472240853845,0.551575564685549,0.299196057235553,2.33967037497576,0.990323818587686,0.802502757177945,0.306083479820081,0.329056971123698,0.300901960133992,0.322550225485636,0.246694182995807,0.569912073221212,0.167305185213278,0.216851482312821,0.165664098408689,0.0582369371710738,0.266917401521394,0.0866343675280012,0.083296138958535,0.323493017738503,0.139491069145782,0.113243323411414,0.119308770515979,0.197554222419453,0.107824568709978,0.302150779154096,0.425371776261601,0.122331518254587,0.67553495100331,0.586055642038987,0.379571777057581,2.10188657145517,0.202182840818112,0.411317889354742,3.60618172310066,1.6827668402774,0.911729536467448,0.125968766380255,0.063029909565705,0.363124720894793,0.655923406136872,0.603958826500101,1.90450199084243,0.77535471417832,2.23865567559156,0.111290213353838
5,0.749855625840458,0.814344261654563,0.770731897504195,0.357682531236378,2.54195065128636,1.07466704990954,1.11302172958301,0.382007081907953,0.392426610471186,0.264492658493324,0.427036282727886,0.27580762294775,0.505890795111308,0.251520519716043,0.454070548245963,0.147797537191593,-0.0186839267230034,0.137008988309697,0.11060929311872,0.108414607223835,0.332855184534682,0.369354118517554,0.117331165860173,0.115321171556938,0.151933909282214,0.11417998517004,0.311199762423376,0.507730232822252,0.192557330005587,0.666296505895257,0.720216005577542,0.444389667667172,2.12495652284163,0.14323570036143,0.551839903558542,3.5585409371154,1.40809766778751,0.897808782331414,0.114181800361945,0.0691662861615299,0.438926914321248,0.642488261325722,0.917844934515416,1.89472252972169,1.19936185857221,2.38356088009443,0.0872356662628456
6,0.769844124301554,0.818722921560886,0.72998412308222,0.277894329774709,2.74752574846103,0.776550953549349,0.995711961665693,0.305138446037408,0.42141257029423,0.342243138964502,0.393049946629303,0.306232649565036,0.608130340120689,0.200205826010914,0.756892088765064,0.194649498332022,0.025225505234198,0.129194837797675,0.127438068981367,0.142124345336088,0.339732200189692,0.191904272983448,0.146128213887078,0.0972095524414086,0.234778742155066,0.0676456829892455,0.304084015618536,0.5339621585059,0.144552158190483,0.657991017249716,0.672514879265471,0.360233576316918,1.86113280311428,0.227661650258766,0.551653142093485,3.51208320051657,1.89417381980182,1.05816628284431,0.157947230730308,0.0581660602598919,0.494300748643665,0.435013232001668,0.918605088083582,1.88631739193584,0.746987468528491,2.5303467329651,0.128121685493464
7,0.792342650475149,0.825567917900658,0.658666435700855,0.243781583061698,2.69201017713681,0.697217235228726,0.96962670031883,0.306519091025326,0.512435342579104,0.269585790973665,0.36299128377687,0.337752635116579,0.531123423282129,0.106161787796906,0.280887529250143,0.144859386586362,0.0240198062926512,0.136189775060331,0.0743738279096863,0.0623164774404008,0.315372187517482,0.144464086568033,0.138091517415832,0.108095214194587,0.180536745630534,0.11488466217179,0.338909796547708,0.570165446770284,0.167532612859809,0.750087994262068,0.535280835211044,0.40719356600901,1.96769132940609,0.228329749113316,0.551737480728257,3.4668430957952,1.55622635650877,0.788463850251797,0.11073179150461,0.0360484232813485,0.517330315181065,0.528078254914432,0.608655631774673,1.87926116142962,0.945988139485144,3.29451566653816,0.141751737774925
8,0.817308782020546,0.834838948001725,0.637327290853312,0.249953437254415,2.6947147629077,0.781837289977694,1.00054130091648,0.314766100060153,0.437315615217395,0.266072715638752,0.419053190003804,0.33480964939795,0.46731550772463,0.199122065551131,0.199293560709743,0.181799021003688,-0.0458017571565581,0.175032404795079,0.0799839898267586,0.0802150854389716,0.324273675233116,0.318281938654117,0.103453235484199,0.0638834063037966,0.147393392635561,0.137747377580831,0.285966411134029,0.536482213605942,0.166632388439796,0.852264664253048,1.01940422154461,0.384037260660081,1.94069744120771,0.197532509236491,0.459400676029397,2.91824141800155,1.44886552253155,0.762136721060212,0.146720961294467,0.0591985812614823,0.55338141970805,0.701568352140731,0.708728176116873,1.87352842214779,0.901486342912538,3.21933448498206,0.0629207216766363
9,0.844700096597056,0.846495709191934,0.724171954197583,0.334520128932863,2.35035867109805,0.739476038196878,0.793616363381593,0.344835949656019,0.387915370027682,0.402281489628309,0.408323121414527,0.340391197659811,0.495173434752945,0.170321743711454,0.47702662377905,0.211082583383202,0.0157323355383146,0.0804026366355483,0.103054330757493,0.0597043765272658,0.25586813253345,0.312581094702506,0.08671618512592,0.11965419642271,0.158069959615809,0.103101428728449,0.38624435753551,0.412095292361689,0.15527514687309,0.655634556777205,0.447296293267785,0.353830813006619,1.86286483712394,0.226592922088826,0.447856599032694,3.00534322399282,1.49889840521052,0.924518389416608,0.130216159062139,0.0641700171082667,0.571696242149744,0.601267727691228,0.645820757364503,1.8690937580351,0.96983442545376,1.98104122040802,0.0637612276242578
10,0.874474171863988,0.860497898799133,0.60801375425492,0.285934367057875,2.74390155588778,0.711035162419926,0.785339071084096,0.274939424739867,0.391563381007664,0.303148703590934,0.402070786815068,0.288334455927736,0.469586371750231,0.203961366366607,0.52920415498006,0.19563134323697,0.164371633754774,0.0469999177444761,0.121470233628461,0.105081388958163,0.261261948411657,0.158648595792488,0.121305580817868,0.114646383681631,0.204875267122473,0.0523000035789493,0.330873947012633,0.64687083830284,0.123463604213726,0.673655560060815,0.669225762270331,0.325302789936983,2.07269508334273,0.19373626498291,0.553952259319803,3.33877439780626,2.25207522620374,0.961328940658789,0.201418065585326,0.0867867717582084,0.575710817723988,0.541513668879916,0.737945274415033,1.74927385472519,0.993602615394556,2.45222748672176,0.076487209106668
11,0.906588585480648,0.876805214151165,0.573109925069151,0.165338079683622,2.43145206414621,0.803150203399511,0.82555917796535,0.350200135343225,0.462595520196952,0.202804316511163,0.440216515999455,0.315608942569226,0.453927649234227,0.220464277320111,0.322844113460229,0.159132938442601,-0.0263207764902514,0.0993413282334347,0.0967610109987232,0.0857020565428471,0.270985393769453,0.209787123594232,0.455795446553189,0.0747962037748528,0.202487776259257,0.0488696278616146,0.417412845983464,0.77706895049156,0.133668138960392,0.639654758627398,0.15229207533801,0.241621752746533,2.02807038693943,0.177725582401877,0.395238849357232,3.29875064550514,1.21196950293585,1.10487863688493,0.107010024653483,0.134028394036031,0.688346575817246,0.909715950888441,0.721996695392418,1.704154631838,1.21727290272451,2.4595370133997,0.0784419655222847
12,0.941000915106351,0.895377352575875,0.467006262867185,0.286069696020314,3.25669505588201,0.882577481898455,0.986442572800272,0.292979276993305,0.373428402476752,0.177730939609217,0.424010403976334,0.135567136940115,0.512021059029956,0.276051681413081,0.508631334186449,0.764607482599795,0.0744417158858899,0.152151224056989,0.0974657524255492,0.110067650757352,0.25741551098771,0.372639836095296,0.182319782117822,0.145825452770888,0.167553212686851,0.0615662558998656,0.340031091516234,0.42424476770541,0.163047242200423,0.498363817911039,0.391641998129281,0.322700194246309,2.11507641638518,0.1666712565234,0.367672818964991,4.0210427005538,1.0496968912999,1.13130667522498,0.141766661065594,0.122567631933213,0.745594841187278,0.540416065436417,0.564793803070689,1.56970582977797,1.46726139041035,2.4074843243544,0.17369392283496
